clean_description,genre
fierc proud rigant dwell deep green mountain land worship god air water spirit earth among live warrior bear mark fate born storm slew father connavar tale courag spread like wildfir seidha magic race old timetak note young warrior cast malign shadow across life soon merciless armi cross water destroy forev timeless rhythm life among rigant,Fiction
intern sensat bestsel sold million copi author korea stun deepli move stori famili search miss mother discoveri desir heartach secret never realiz harbor within,Fiction
book excel finalist award recipi romanc categori titl dark descent desir j j sorel while away day write steami romanc novel love conjur slightli damag seduct men fall madli love smart quirki women becom writer ten year ago danc choreograph supper jjsorelcom,Fiction
sweden late summer selftaught astrophysicist petra calcul atmospher collaps st septemb year around precis bring end time arm terribl knowledg petra meet johan domesday prophet agn widow made bank live doubl life social media young influenc togeth trio race europ plan make time left way one,Fiction
dark forebod well colin english bride twin brother david sens troubl grow obsess david made way england calm fear instead found,Fiction
would stay haunt hous one night would live place ghostli thing keep happen cellar door know lock night alway open follow morn hush whimper heard white shadow steal dark presenc evil around,Fiction
set exot eastern landscap peopl magician fantast talk anim salman rushdi classic children novel inhabit imagin space,Fiction
point everi one us embark journey find love meet peopl date get relationship hope find someon share deep connect seem standard wildli differ peopl even decad ago singl peopl today romant option point human histori technolog abil connect sort option stagger mani peopl frustrat problem uniqu time guy text emoji pizza go girl even though list combo one favorit snack food combo girlfriend got messag dude name nathan who nathan send photo peni check sure,Fiction
robert anson heinlein american scienc fiction author aeronaut engin naval offic sometim call dean scienc fiction writer among first emphas scientif accuraci fiction thu pioneer subgenr hard scienc fiction publish work fiction nonfict express admir compet emphas valu critic think plot often pose provoc situat challeng convent social more work continu influenc sciencefict genr modern cultur gener heinlein becam one first american sciencefict writer break mainstream magazin saturday even post late one bestsel sciencefict novelist mani decad,Fiction
owen sister confront challeng life love bewitch novel,Fiction
offer modern day parabl one man choicesand attitud make differ failur success fortysixyearold david ponder feel like total failur highfli execut fortun compani work parttim minimum wage job struggl support famili even greater crisi hit daughter becom ill cant afford get medic help need car skid ici road wonder even care surviv crash,Fiction
summer steven longserv butler darlington hall decid take motor trip west countri sixday excurs becom journey past steven england past take fascism two world war unrealis love butler housekeep sir kazuo ishiguro obe frsa frsl british novelist japanes origin nobel laureat literatur famili move england ishiguro obtain bachelor degre univers kent master univers east anglia creativ write cours becam british citizen live london,Fiction
set desert planet arraki stori boy paul atreid heir nobl famili task rule inhospit world thing valu spice melang drug capabl extend life enhanc conscious covet across known univers melang prize worth kill,Fiction
jorg lui borg declar masterpiec plot compar,Fiction
twelv thousand year galact empir rule suprem die hari seldon creator revolutionari scienc psychohistori see futureto dark age ignor barbar warfar last thirti thousand year preserv knowledg save humankind seldon gather best mind empireboth scientist scholarsand bring bleak planet edg galaxi serv beacon hope futur gener call sanctuari foundat work prolif russianamerican writer,Fiction
year us marshal teddi daniel new partner chuck aul come shutter island home ashecliff hospit crimin insan investig disappear patient multipl murderess rachel solando loos somewher remot barren island despit kept lock cell constant surveil killer hurrican relentlessli bear strang case take even darker sinist shadeswith hint radic experiment horrifi surgeri lethal countermov made caus covert shadow war one go escap shutter island unscath noth ashecliff hospit seem neither teddi daniel denni lehan born aug th american author written sever novel includ new york time bestsel mystic river later made academi award win film also call mystic river direct clint eastwood star sean penn tim robbin kevin bacon lehan briefli seen wave car parad scene end film novel finalist penwinship award anthoni award barri award best novel massachusett book award fiction franc prix myster de la critiqu,Fiction
need pay elder care mother victor devis ingeni scam pretend choke piec food dine upscal restaur allow save fellow patron feel respons victor life go send check support he pull stunt victor cruis sexual addict recoveri workshop action visit addl mom spend day work coloni theme park,Fiction
sweet tea corn bread soup beanseveryday fare eightyearold alix french precoci darl respect southern famili noth ordinari day met tenyearold nick anderson boy wrong side town arm tin bee balm steeli determin alix treat raw evid recent beat mar back act chang live forev childhood disast teenag woe cling togeth friendship turn love futur look rosi fate night frank anderson nick abus father shot death filthi trailer,Fiction
year ge emperor cleon sit uneasili imperi throne trantor great multidom capit galact empir forti billion peopl creat civil unimagin technolog cultur complex yet cleon know would see fallthos would destroy could read futur hari seldon come trantor deliv paper psychohistori remark theori predict littl young outworld mathematician know alreadi seal fate fate human hari possess prophet power make want man empir man hold key futurean apocalypt power known forev foundat,Fiction
